Node Name,Output Tensor Name,Output Tensor Size
1309_DequantizeLinear,1309_dequantized,"(512, 512, 3, 3)"
1310_DequantizeLinear,1310_dequantized,"(512,)"
1312_DequantizeLinear,1312_dequantized,"(2048, 512, 1, 1)"
1313_DequantizeLinear,1313_dequantized,"(2048,)"
1318_DequantizeLinear,1318_dequantized,"(512, 2048, 1, 1)"
1319_DequantizeLinear,1319_dequantized,"(512,)"
1321_DequantizeLinear,1321_dequantized,"(512, 512, 3, 3)"
1322_DequantizeLinear,1322_dequantized,"(512,)"
1324_DequantizeLinear,1324_dequantized,"(2048, 512, 1, 1)"
1325_DequantizeLinear,1325_dequantized,"(2048,)"
1327_DequantizeLinear,1327_dequantized,"(512, 2048, 1, 1)"
1328_DequantizeLinear,1328_dequantized,"(512,)"
1330_DequantizeLinear,1330_dequantized,"(512, 512, 3, 3)"
1331_DequantizeLinear,1331_dequantized,"(512,)"
1333_DequantizeLinear,1333_dequantized,"(2048, 512, 1, 1)"
1334_DequantizeLinear,1334_dequantized,"(2048,)"
1336_DequantizeLinear,1336_dequantized,"(512, 2048, 3, 3)"
1337_DequantizeLinear,1337_dequantized,"(512,)"
classifier.4.weight_DequantizeLinear,classifier.4.weight_dequantized,"(21, 512, 1, 1)"
classifier.4.bias_DequantizeLinear,classifier.4.bias_dequantized,"(21,)"
Gather_5,646,()
Gather_2,643,()
input_Conv_6_DequantizeLinear,input_dequantized,"(1, 3, 224, 224)"
Conv_6_quant,1023_QuantizeInput,"(1, 64, 112, 112)"
Unsqueeze_248,994,"(1,)"
Unsqueeze_247,993,"(1,)"
1023_Conv_6_QuantizeLinear,1023_quantized,"(1, 64, 112, 112)"
Concat_249,995,"(2,)"
1023_Conv_6_DequantizeLinear,1023,"(1, 64, 112, 112)"
MaxPool_8,650,"(1, 64, 56, 56)"
650_Conv_14_QuantizeLinear,650_Conv_14_QuantizeLinear,"(1, 64, 56, 56)"
650_Conv_14_DequantizeLinear,650_Conv_14_dequantized,"(1, 64, 56, 56)"
Conv_14_quant,1035_QuantizeInput,"(1, 256, 56, 56)"
Conv_9_quant,1026_QuantizeInput,"(1, 64, 56, 56)"
1035_Conv_14_QuantizeLinear,1035_quantized,"(1, 256, 56, 56)"
1026_Conv_9_QuantizeLinear,1026_quantized,"(1, 64, 56, 56)"
1035_Conv_14_DequantizeLinear,1035,"(1, 256, 56, 56)"
1026_Conv_11_DequantizeLinear,1026_Conv_11_dequantized,"(1, 64, 56, 56)"
Conv_11_quant,1029_QuantizeInput,"(1, 64, 56, 56)"
1029_Conv_11_QuantizeLinear,1029_quantized,"(1, 64, 56, 56)"
1029_Conv_13_DequantizeLinear,1029_Conv_13_dequantized,"(1, 64, 56, 56)"
Conv_13_quant,1032_QuantizeInput,"(1, 256, 56, 56)"
1032_Conv_13_QuantizeLinear,1032_quantized,"(1, 256, 56, 56)"
1032_Conv_13_DequantizeLinear,1032,"(1, 256, 56, 56)"
Add_15,661,"(1, 256, 56, 56)"
Relu_16,662,"(1, 256, 56, 56)"
662_Conv_17_QuantizeLinear,662_Conv_17_QuantizeLinear,"(1, 256, 56, 56)"
662_Conv_17_DequantizeLinear,662_Conv_17_dequantized,"(1, 256, 56, 56)"
Conv_17_quant,1038_QuantizeInput,"(1, 64, 56, 56)"
1038_Conv_17_QuantizeLinear,1038_quantized,"(1, 64, 56, 56)"
1038_Conv_19_DequantizeLinear,1038_Conv_19_dequantized,"(1, 64, 56, 56)"
